,country,election name,provincial election,province,district,constituency no,name,party name,received votes
0,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Taplejung,Constituency : 1 (1),Til Kumar Menwang,CPN UML,"12,772"
1,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Taplejung,Constituency : 1 (2),Khagen Singh Hangam,Nepali Congress,"10,496"
2,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Panchthar,Constituency : 1 (1),Kamal Prasad Jabegu,CPN (Unified Socialist),"16,849"
3,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Panchthar,Constituency : 1 (2),Indra Bahadur Angwo,CPN Maoist,"15,685"
4,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Illam,Constituency : 1 (1),Khinu Langwa (Limbu),CPN (Unified Socialist),"13,371"
5,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Illam,Constituency : 1 (2),Shemser Rai,Nepali Congress,"12,780"
6,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Illam,Constituency : 2 (1),Govinda Giri,Nepali Congress,"16,658"
7,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Illam,Constituency : 2 (2),Ram Bahadur Magar,CPN UML,"13,754"
8,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Jhapa,Constituency : 1 (1),Gopal Tamang,Nepali Congress,"23,045"
9,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Jhapa,Constituency : 1 (2),Sabina Bhajgai,Rastriya Prajatantra Party,"13,621"
10,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Jhapa,Constituency : 2 (1),Yekraj Karki,CPN UML,"18,758"
11,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Jhapa,Constituency : 2 (2),Tilchan Phatak,CPN UML,"20,184"
12,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Jhapa,Constituency : 3 (1),Bhumi Prasad Rajbanshi,Nepali Congress,"20,770"
13,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Jhapa,Constituency : 3 (2),Chabilal Chudal,CPN UML,"19,875"
14,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Jhapa,Constituency : 4 (1),Radha Krishna Khanal,CPN UML,"13,951"
15,Nepal,Parliament & Provincial Election 2079,Provincial Election,Pradesh 1,Jhapa,Constituency : 4 (2),Bhakti Prasad Sitaula,Rastriya Prajatantra Party,"19,045"
