,country,election name,federal election,province,district,constituency_no,candidate_name,party name,received votes
0,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Taplejung,Taplejung - Constituency 1,Yogesh Kumar Bhattarai,CPN UML,"21,943"
1,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Taplejung,Constituency : 1,Yogesh Bhattarai,CPN-UML,"29,479"
3,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Panchthar,Panchthar - Constituency 1,Basanta Kumar Neuwang,CPN UML,"32,135"
4,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Panchthar,Constituency : 1,Basanta Kumar Nembang,CPN-UML,"38,641"
6,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Illam,Illam - Constituency 1,Mahesh Basnet,CPN UML,"25,753"
7,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Illam,Illam - Constituency 2,Subash Chandra Nembang,CPN UML,"30,020"
8,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Illam,Constituency : 1,Jhalanath Khanal,CPN-UML,"36,807"
9,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Illam,Constituency : 2,Subash Chandra Nembang,CPN-UML,"36,514"
10,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Illam,"Illam - 2, By - Election 2081",Suhang Nembang,CPN UML,"27,772"
11,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Jhapa,Jhapa - Constituency 1,Biswa Prakash Sharma,Nepali Congress,"39,624"
12,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Jhapa,Jhapa - Constituency 2,Dev Raj Ghimire,CPN UML,"28,716"
13,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Jhapa,Jhapa - Constituency 3,Rajendra Prasad Lingden,Rastriya Prajatantra Party,"40,662"
14,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Jhapa,Jhapa - Constituency 4,Lal Prasad Sawa Limbu,CPN UML,"29,315"
15,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Jhapa,Jhapa - Constituency 5,KP Sharma Oli,CPN UML,"52,319"
16,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Jhapa,Constituency : 1,Ram Karki,Maoist Centre,"36,173"
17,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Jhapa,Constituency : 2,Pabitra Niraula Kharel,CPN-UML,"45,817"
18,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Jhapa,Constituency : 3,Rajendra Lingden,RPP,"44,614"
19,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Jhapa,Constituency : 4,LP Sanwa Limbu,CPN-UML,"43,515"
20,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Jhapa,Constituency : 5,KP Sharma Oli,CPN-UML,"57,139"
22,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Morang,Morang - Constituency 1,Dig Bahadur Limbu,Nepali Congress,"27,297"
23,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Morang,Morang - Constituency 2,Rishikesh Pokheral,CPN UML,"33,148"
24,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Morang,Morang - Constituency 3,Sunil Kumar Sharma,Nepali Congress,"48,631"
25,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Morang,Morang - Constituency 4,Aman Lal Modi,CPN Maoist,"30,612"
26,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Morang,Morang - Constituency 5,Yogendra Mandal,Independent,"21,820"
27,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Morang,Morang - Constituency 6,Dr. Shekhar Koirala,Nepali Congress,"35,224"
28,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Morang,Constituency : 1,Ghan Shyam Khatiwada,CPN-UML,"37,524"
29,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Morang,Constituency : 2,Dr Minendra Rijal,Nepali Congress,"35,819"
30,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Morang,Constituency : 3,Bhanubhakta Dhakal,CPN-UML,"42,413"
31,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Morang,Constituency : 4,Aman Lal Modi,Maoist Centre,"33,529"
32,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Morang,Constituency : 5,Shiva Kumar Mandal,Maoist Centre,"22,945"
33,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Morang,Constituency : 6,Lal Babu Pandit,CPN-UML,"33,941"
35,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Sunsari,Sunsari - Constituency 1,Ashok Kumar Rai,Janata Samajwadi Party,"17,059"
36,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Sunsari,Sunsari - Constituency 2,Bhim Prasad Acharya,CPN UML,"32,024"
37,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Sunsari,Sunsari - Constituency 3,Bhagwati Chaudhary,CPN UML,"40,788"
38,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Sunsari,Sunsari - Constituency 4,Gyanendra Bahadur Karki,Nepali Congress,"30,483"
39,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Sunsari,Constituency : 1,Jaya Kumar Rai,CPN-UML,"44,528"
40,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Sunsari,Constituency : 2,Sita Ram Mehata,Nepali Congress,"41,495"
41,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Sunsari,Constituency : 3,Bijay Kumar Gachhadar,Nepali Congress,"38,972"
42,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Sunsari,Constituency : 4,Gyanendra Bahadur Karki,Nepali Congress,"32,347"
44,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Dhankuta,Dhankuta - Constituency 1,Rajendra Kumar Rai,CPN UML,"30,101"
45,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Dhankuta,Constituency : 1,Rajendra Rai,CPN-UML,"37,333"
47,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Sankhuwasabha,Sankhuwasabha - Constituency 1,Dipak Khadka,Nepali Congress,"32,161"
48,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Pradesh 1,Sankhuwasabha,Constituency : 1,Rajendra Gautam,CPN-UML,"32,769"
50,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Pradesh 1,Bhojpur,Bhojpur - Constituency 1,Sudan Kirati,CPN Maoist,"28,591"
